SECTION,QUESTION,ANSWER
Company Overview,What is Conklin Metal Industries?,"Conklin Metal Industries is a distributor of all types of sheet metal, HVAC & Duct Fabrication Supplies, and Mechanical & Industrial Insulation. Founded in 1874, it is now in its fourth generation as a family-owned and operated business. Conklin services the entire southeastern U.S. out of 15 warehouses, primarily serving commercial contractors."
Company Overview,Where are Conklin's warehouses located?,"Conklin operates 15 warehouses across the southeastern United States. Branches include Atlanta North, Atlanta West, Memphis TN, Nashville TN, Birmingham AL, Little Rock AR, Charlotte NC, Greenville SC, Knoxville TN, and Orlando FL among others."
Company Overview,What is Conklin's primary goal?,Conklin's goal is to be a world-class distributor and a company where people enjoy and find satisfaction in their work.
Company Overview,What types of customers does Conklin serve?,"Conklin serves: Mechanical Contractors (Mech-SM) who fabricate and install HVAC ductwork (50%+ of volume), Mechanical Contractors HVAC (Mech-HVAC) who sub-contract ductwork, Duct Fabricators (DFAB) who fabricate but do not install, Sheet Metal Contractors (SMC) who fabricate and install without a mechanical license, Residential/Commercial Service Add-On Contractors (RCSA), Residential New Construction Contractors (RNC), Roof Curb Manufacturers (Rcurb), and Industrial Air Distribution Contractors (IADC)."
Company Overview,What is the Plan and Spec Division?,"The Plan and Spec Division is based in Memphis and provides quotations directly from mechanical plans on commercial projects throughout Conklin's footprint. It was launched in 2019 to service Tennessee and Arkansas, with plans to expand to other markets."
Core Values,What are Conklin's core values?,"Conklin's four core values are: 1. INTEGRITY - Honor commitments, do the right thing, treat everyone with dignity and respect. 2. INITIATIVE - Be proactive and responsive. Be passionate about improvement with a focus on solutions. 3. COMMUNICATE - Communicate clearly and respond timely. Listen to understand and shoot straight. 4. CREATE FANS - Be easy to work with. Be positive. Invest in relationships and be a team player. Have fun!"
Core Values,What is The Conklin Way?,"The Conklin Way is Conklin's cultural framework of 26 fundamentals that describe the daily practices that make their culture come to life. Key fundamentals include: Pursue Excellence, Invest in Relationships, Be Prepared, Deliver Results, Listen to Understand, Shoot Straight, Focus on Solutions, Respond Timely, Pay Attention to Details, Assume Positive Intent, Treat Everyone with Dignity and Respect, Honor Commitments, Do the Right Thing, Be Positive, Communicate Clearly, Create Fans, and Have Fun and Laugh."
Products,What product lines does Conklin carry?,"Conklin's 8 product lines are: 1. Coils - flat rolled metal in coil form (95% galvanized). 2. Sheets - carbon flat rolled sheet products. 3. Specialty Metals - stainless steel, aluminum, and copper sheets. 4. Duct Fabrication Supplies - duct liner, flanges, connectors, adhesives, turning vanes, slips and drives. 5. Pipe and Air Distribution Supplies - spiral pipe, fittings, flex duct, grilles, registers, diffusers. 6. HVAC Field Supplies - refrigerant, copper linesets, motors, thermostats, mini splits. 7. Machinery and Tools - sheet metal forming machinery, hand tools, repair parts. 8. Mechanical and Industrial Pipe Insulation - fiberglass, sealants, fire wrap, elastomeric."
Products,What are Conklin's top selling steel products?,"The top selling coil sizes are 60 inch wide G90 galvanized in 20, 22, 24, and 26 gauge - these four items account for almost 60% of all coil sales. For sheets, the biggest seller by far is 24 Ga 48x120 inch G90 Galvanized."
Products,What specialty metals does Conklin stock?,"Conklin stocks three specialty metal types: Aluminum - Mill Finish type 3003 H14, common thicknesses .032 and .040, used for flashing, gutters, downspouts, ductwork. Stainless Steel - Primarily type 304, finishes 2B (dull gray) and polished, used for ductwork and roof flashings. Copper - Cold roll temper, most common 16 oz, used for roofing applications."
Products,What machinery does Conklin sell?,"Conklin is an authorized dealer of Tennsmith, Vicon, Flagler, Duro Dyne, Roto Die, Wilder, and Roper Whitney. Machines include plasma machines, coil lines, shears, brakes, rollformers, pinspotters, slitters, notchers, cleat formers, rotary machines, and slip roll formers. Conklin is also one of the few dealers of used sheet metal machinery in the southeast."
Products,What duct fabrication supplies does Conklin carry?,"Conklin's Duct Fabrication Supplies include: reinforcement angle, angle iron rings, flexible duct canvas connectors, damper hardware, Ductmate flange and TDC/TDF connection systems, duct adhesives, duct film wrap, fiberglass and elastomeric duct liner, slips and drives, liner pins, solder, and hollow turning vane. This is a target product line for every branch and salesperson."
E-Commerce,What is the primary objective of the E-Commerce site?,"To allow existing and new customers to place orders online. New customers can view the Global Catalog and request quotes. The site also serves as a customer portal where existing customers can log in to check open orders, check current balance, and print and pay invoices."
E-Commerce,Why does the site require cookies?,"The site relies on cookies to store small pieces of data on your device. Cookies are required for the site to function properly - keeping you logged in, remembering items in your cart, saving preferences, and enabling secure transactions. When you first visit the site click Accept Cookies to ensure the site functions normally."
E-Commerce,What criteria is required for a product to appear on the site?,Two conditions must both be met: 1. The product must be STOCKABLE and SELLABLE in P21 at the selected branch. 2. The item code must be loaded in the PIM and assigned to a taxonomy category.
